0,1,2,3,4,5,6
"{'display': '27/01/2025', 'timestamp': '1737936000'}",122.443,124.862,"1,97",122.207,124.862,n/d
"{'display': '24/01/2025', 'timestamp': '1737676800'}",122.965,122.447,"-0,03",122.196,122.908,n/d
"{'display': '23/01/2025', 'timestamp': '1737590400'}",123.345,122.483,"-0,40",122.159,123.958,n/d
"{'display': '22/01/2025', 'timestamp': '1737504000'}",122.850,122.972,"-0,30",122.926,123.865,n/d
"{'display': '21/01/2025', 'timestamp': '1737417600'}",122.349,123.338,"0,39",122.290,123.462,n/d
"{'display': '20/01/2025', 'timestamp': '1737331200'}",122.349,122.855,"0,41",121.511,123.172,n/d
"{'display': '17/01/2025', 'timestamp': '1737072000'}",122.649,122.350,"0,92",121.074,122.674,n/d
"{'display': '16/01/2025', 'timestamp': '1736985600'}",119.309,121.234,"-1,15",120.796,122.660,n/d
"{'display': '15/01/2025', 'timestamp': '1736899200'}",119.309,122.650,"2,81",119.303,122.988,n/d
"{'display': '14/01/2025', 'timestamp': '1736812800'}",119.007,119.299,"0,25",118.223,119.451,n/d
"{'display': '13/01/2025', 'timestamp': '1736726400'}",118.856,119.007,"0,13",118.743,119.729,n/d
"{'display': '10/01/2025', 'timestamp': '1736467200'}",119.625,118.856,"-0,77",118.732,120.052,n/d
"{'display': '09/01/2025', 'timestamp': '1736380800'}",121.160,119.781,"0,13",119.502,120.145,n/d
"{'display': '08/01/2025', 'timestamp': '1736294400'}",120.022,119.625,"-1,27",119.351,121.160,n/d
"{'display': '07/01/2025', 'timestamp': '1736208000'}",120.022,121.163,"0,95",120.022,121.713,n/d
"{'display': '06/01/2025', 'timestamp': '1736121600'}",118.534,120.022,"1,26",118.534,120.322,n/d
"{'display': '03/01/2025', 'timestamp': '1735862400'}",120.283,118.533,"-1,33",118.404,120.356,n/d
"{'display': '02/01/2025', 'timestamp': '1735776000'}",120.267,120.125,"-0,13",119.120,120.782,n/d
"{'display': '30/12/2024', 'timestamp': '1735516800'}",120.267,120.283,"0,01",120.158,121.050,n/d
"{'display': '27/12/2024', 'timestamp': '1735257600'}",120.767,120.269,"-0,67",120.252,121.609,n/d
"{'display': '26/12/2024', 'timestamp': '1735171200'}",122.105,121.078,"0,26",120.428,121.612,n/d
"{'display': '23/12/2024', 'timestamp': '1734912000'}",n/d,120.767,"-1,09",120.617,122.105,n/d
"{'display': '20/12/2024', 'timestamp': '1734652800'}",120.768,122.102,"0,75",120.700,122.209,n/d
"{'display': '19/12/2024', 'timestamp': '1734566400'}",124.699,121.188,"-0,10",120.768,121.770,n/d
"{'display': '18/12/2024', 'timestamp': '1734480000'}",123.560,121.314,"-2,71",120.942,124.699,n/d
"{'display': '17/12/2024', 'timestamp': '1734393600'}",124.610,124.698,"0,92",123.560,125.301,n/d
"{'display': '16/12/2024', 'timestamp': '1734307200'}",124.610,123.560,"-0,84",123.495,124.956,n/d
"{'display': '13/12/2024', 'timestamp': '1734048000'}",126.102,124.612,"-1,13",124.578,126.290,n/d
"{'display': '12/12/2024', 'timestamp': '1733961600'}",129.587,126.042,"-2,74",125.829,129.587,n/d
"{'display': '11/12/2024', 'timestamp': '1733875200'}",128.228,129.593,"1,06",127.362,130.899,n/d
"{'display': '10/12/2024', 'timestamp': '1733788800'}",125.946,128.228,"0,80",127.213,128.511,n/d
"{'display': '09/12/2024', 'timestamp': '1733702400'}",125.946,127.210,"1,00",125.946,127.542,n/d
"{'display': '06/12/2024', 'timestamp': '1733443200'}",126.088,125.946,"-1,50",125.833,127.872,n/d
"{'display': '05/12/2024', 'timestamp': '1733356800'}",126.139,127.858,"1,40",126.087,127.989,n/d
"{'display': '04/12/2024', 'timestamp': '1733270400'}",125.235,126.087,"-0,04",125.828,126.720,n/d
"{'display': '03/12/2024', 'timestamp': '1733184000'}",125.668,126.139,"0,72",125.233,126.417,n/d
"{'display': '02/12/2024', 'timestamp': '1733097600'}",125.668,125.236,"-0,34",124.734,125.901,n/d
"{'display': '29/11/2024', 'timestamp': '1732838400'}",124.611,125.668,"0,85",123.946,126.056,n/d
"{'display': '28/11/2024', 'timestamp': '1732752000'}",127.667,124.610,"-2,40",124.390,127.668,n/d
"{'display': '27/11/2024', 'timestamp': '1732665600'}",129.923,127.669,"-1,73",127.669,130.283,n/d
"{'display': '26/11/2024', 'timestamp': '1732579200'}",129.125,129.922,"0,69",129.042,130.361,n/d
"{'display': '25/11/2024', 'timestamp': '1732492800'}",n/d,129.036,"-0,07",128.932,129.495,n/d
"{'display': '22/11/2024', 'timestamp': '1732233600'}",128.197,129.126,"1,74",126.944,129.126,n/d
"{'display': '21/11/2024', 'timestamp': '1732147200'}",127.768,126.922,"-0,99",126.594,128.197,n/d
"{'display': '19/11/2024', 'timestamp': '1731974400'}",127.791,128.197,"0,34",127.235,128.579,n/d
"{'display': '18/11/2024', 'timestamp': '1731888000'}",127.791,127.768,"-0,02",127.226,128.277,n/d
"{'display': '14/11/2024', 'timestamp': '1731542400'}",127.698,127.792,"0,05",127.389,128.423,n/d
"{'display': '13/11/2024', 'timestamp': '1731456000'}",127.873,127.734,"0,03",126.869,128.100,n/d
"{'display': '12/11/2024', 'timestamp': '1731369600'}",127.829,127.698,"-0,14",127.411,128.210,n/d
"{'display': '11/11/2024', 'timestamp': '1731283200'}",127.829,127.874,"0,03",127.306,128.095,n/d
